Node ID,Distance from beggining,Latitude,Longitude 
1066620733,10987.260453,41.329923,2.087466
1066620731,11106.781856,41.329488,2.086157
1066620730,11221.037828,41.329061,2.084912
1066620728,11494.769425,41.328043,2.081927
1118396194,11647.039801,41.327472,2.080270
1066620726,11809.793173,41.326858,2.078501
1066620723,12376.128126,41.324767,2.072316
1066620721,12762.046807,41.323276,2.068143
1066620716,13116.478662,41.321954,2.064281
1066620715,13583.895486,41.320190,2.059201
1066620713,13700.921058,41.319739,2.057934
1066620708,13777.656730,41.319429,2.057114
1066620704,13798.055800,41.319368,2.056883
1066620702,14126.301067,41.318155,2.053300
1066620700,14555.913122,41.316548,2.048622
1066620698,15214.391625,41.314106,2.041439
1066620696,15632.853630,41.312494,2.036911
1066620695,15997.618703,41.311144,2.032931
1066620694,16497.065563,41.309279,2.027491
1066620692,16669.683154,41.308630,2.025614
1066620691,16995.874632,41.307417,2.022058
1324546086,17517.834389,41.305447,2.016386
1324546035,17565.785625,41.305235,2.015887
1324546060,17659.240089,41.304888,2.014867
1324546045,17723.477769,41.304648,2.014168
1324546074,17809.063219,41.304302,2.013253
1324546076,17908.126584,41.303875,2.012212
1324546048,17967.485505,41.303604,2.011600
1324546044,18046.481135,41.303208,2.010814
1324546073,18120.033446,41.302823,2.010098
1324546047,18165.737727,41.302573,2.009664
1324546051,18223.690308,41.302249,2.009121
1324546041,18296.291448,41.301840,2.008443
1066620686,18355.238418,41.301508,2.007893
1066620685,18619.681124,41.299781,2.005717
1066620683,19070.466196,41.296835,2.002010
1066620681,19231.792465,41.295787,2.000675
1066620680,19272.364438,41.295525,2.000337
1066620904,19467.357738,41.294207,1.998797
1066620901,19880.421178,41.291514,1.995391
1066620894,20093.123198,41.290132,1.993631
1066620878,20121.006250,41.289955,1.993395
1066620875,20314.232612,41.288669,1.991839
1066620872,21069.855477,41.283719,1.985644
1066620868,21367.879595,41.281780,1.983181
213850148,21474.660987,41.281074,1.982315
213850146,21650.490044,41.279887,1.980925
213850144,21892.637048,41.278281,1.978968
46920795,22112.540833,41.276927,1.977049
970923304,22458.608839,41.274650,1.974227
970923345,22484.577179,41.274480,1.974014
206963838,22679.095516,41.273229,1.972386
209145840,22894.976259,41.271784,1.970661
46920784,23081.939070,41.270560,1.969127
209145274,23155.788324,41.270101,1.968489
206963837,23269.433813,41.269470,1.967419
206963836,23442.353198,41.268631,1.965677
46920757,23572.023023,41.268141,1.964269
209178380,23623.865396,41.267972,1.963691
206963835,23677.336935,41.267818,1.963085
206963834,23759.466022,41.267638,1.962132
206963833,23898.978810,41.267438,1.960484
46920749,24043.020471,41.267282,1.958773
243493995,24184.607943,41.267112,1.957094
206963832,24657.303683,41.266415,1.951515
46920701,25206.857145,41.265618,1.945026
46920696,25928.162458,41.264560,1.936512
206963831,26040.415077,41.264296,1.935215
206963830,26164.293172,41.263928,1.933817
206963829,26442.938756,41.262941,1.930752
279742781,26479.626619,41.262815,1.930347
1125509482,26562.956221,41.262532,1.929423
1125509538,26634.304695,41.262294,1.928631
1125509645,26689.125643,41.262129,1.928013
46920686,26779.108136,41.261873,1.926992
1125509516,26813.780752,41.261782,1.926595
1125509556,27077.439815,41.261083,1.923580
1125509693,27284.339538,41.260186,1.921412
1125509513,27353.308266,41.259821,1.920745
46920679,27561.924516,41.258811,1.918642
1125509469,28238.462026,41.256157,1.911359
1125509504,28297.202835,41.256038,1.910674
1125509534,28404.441744,41.255859,1.909414
46920675,28513.858103,41.255707,1.908121
528908100,28579.073314,41.255581,1.907359
528908099,28675.405458,41.255408,1.906230
528908114,28776.951779,41.255214,1.905043
528908115,28825.601653,41.255087,1.904485
528908120,28874.673210,41.254911,1.903947
1125509520,28945.106648,41.254640,1.903186
528908098,29017.079984,41.254316,1.902440
1125509551,29238.736928,41.253086,1.900353
493876704,29459.944888,41.251990,1.898145
46920665,30465.528717,41.248193,1.887228
46920658,31346.521343,41.245190,1.877477
